threads,trials,probability,megatrials/sec
1,1,0.00%,0
1,10,10.00%,10.49
1,100,34.00%,14.46
1,1000,29.00%,12.83
1,10000,30.57%,12.06
1,100000,29.39%,22.6
1,500000,29.08%,29.85
1,1000000,29.08%,29.89
2,1,0.00%,1.05
2,10,10.00%,10.49
2,100,34.00%,34.95
2,1000,29.00%,26.38
2,10000,30.57%,20.28
2,100000,29.39%,35.69
2,500000,29.08%,57.5
2,1000000,29.08%,57.64
4,1,0.00%,1.05
4,10,10.00%,5.24
4,100,34.00%,52.43
4,1000,29.00%,50.53
4,10000,30.57%,48.04
4,100000,29.39%,70.87
4,500000,29.08%,83.02
4,1000000,29.08%,63.13
8,1,0.00%,0.04
8,10,10.00%,0.31
8,100,34.00%,0.82
8,1000,29.00%,77.67
8,10000,30.57%,40.64
8,100000,29.39%,70.87
8,500000,29.08%,132.69
8,1000000,29.08%,147.58
12,1,0.00%,0.01
12,10,10.00%,0.13
12,100,34.00%,1.3
12,1000,29.00%,10.31
12,10000,30.57%,35.7
12,100000,29.39%,63.73
12,500000,29.08%,103.99
12,1000000,29.08%,126.79
16,1,0.00%,0.01
16,10,10.00%,0.07
16,100,34.00%,0.33
16,1000,29.00%,7.19
16,10000,30.57%,31.94
16,100000,29.39%,59.34
16,500000,29.08%,116.39
16,1000000,29.08%,137.59
20,1,0.00%,0.01
20,10,10.00%,0.05
20,100,34.00%,0.36
20,1000,29.00%,3.84
20,10000,30.57%,27.85
20,100000,29.39%,56.05
20,500000,29.08%,104.04
20,1000000,29.08%,119.27
24,1,0.00%,0
24,10,10.00%,0.03
24,100,34.00%,0.41
24,1000,29.00%,2.91
24,10000,30.57%,24.04
24,100000,29.39%,49.87
24,500000,29.08%,92.39
24,1000000,29.08%,120.44
32,1,0.00%,0
32,10,10.00%,0.02
32,100,34.00%,0.25
32,1000,29.00%,2.78
32,10000,30.57%,19.65
32,100000,29.39%,46.41
32,500000,29.08%,80.96
32,1000000,29.08%,120.78